relative_path,name,bytes,matched_reference_norm
COLEÇÃO - 2020\451-1-CB12_D.jpg,451-1-CB12_D.jpg,136025,4511
COLEÇÃO - 2020\451-1-CB12_E.jpg,451-1-CB12_E.jpg,131847,4511
COLEÇÃO - 2020\451-1-CB13.jpg,451-1-CB13.jpg,113814,4511
COLEÇÃO - 2020\CF134-CB22.JPG,CF134-CB22.JPG,113277,CF134
COLEÇÃO - 2020\CF134-CB28.JPG,CF134-CB28.JPG,139700,CF134
COLEÇÃO - 2020\CF134-CB34.JPG,CF134-CB34.JPG,140439,CF134
COLEÇÃO - 2020\CF134-CB35.JPG,CF134-CB35.JPG,142375,CF134
COLEÇÃO - 2020\CF134-CB36.JPG,CF134-CB36.JPG,159286,CF134
COLEÇÃO - 2020\CF134-CB37.JPG,CF134-CB37.JPG,162328,CF134
COLEÇÃO - 2020\CF134-CB38.jpg,CF134-CB38.jpg,132159,CF134
COLEÇÃO - 2020\CF165-CB01.JPG,CF165-CB01.JPG,104158,CF165
COLEÇÃO - 2020\CF165-CB04.JPG,CF165-CB04.JPG,111409,CF165
COLEÇÃO - 2020\CF165-CB11.JPG,CF165-CB11.JPG,117714,CF165
COLEÇÃO - 2020\CF165-CB12.JPG,CF165-CB12.JPG,120195,CF165
COLEÇÃO - 2020\CF165-CB13.JPG,CF165-CB13.JPG,143124,CF165
COLEÇÃO - 2020\CF165-CB14.jpg,CF165-CB14.jpg,136875,CF165
COLEÇÃO - 2020\CF166-CB01.JPG,CF166-CB01.JPG,114092,CF166
COLEÇÃO - 2020\CF166-CB04.JPG,CF166-CB04.JPG,117120,CF166
COLEÇÃO - 2020\CF166-CB12.JPG,CF166-CB12.JPG,138147,CF166
COLEÇÃO - 2020\CF166-CB13.JPG,CF166-CB13.JPG,125943,CF166
COLEÇÃO - 2020\CF166-CB14.JPG,CF166-CB14.JPG,106055,CF166
COLEÇÃO - 2020\CF166-CB15.JPG,CF166-CB15.JPG,138821,CF166
COLEÇÃO - 2020\CF166-CB16.jpg,CF166-CB16.jpg,52099,CF166
COLEÇÃO - 2020\CF166-CB17.jpg,CF166-CB17.jpg,159674,CF166
COLEÇÃO - 2020\CF176-CB01.JPG,CF176-CB01.JPG,123475,CF176
COLEÇÃO - 2020\CF176-CB02.JPG,CF176-CB02.JPG,154266,CF176
COLEÇÃO - 2020\CF176-CB07.JPG,CF176-CB07.JPG,134219,CF176
COLEÇÃO - 2020\CF176-CB08.JPG,CF176-CB08.JPG,138237,CF176
COLEÇÃO - 2020\CF176-CB09.JPG,CF176-CB09.JPG,120706,CF176
COLEÇÃO - 2020\CF176-CB10.JPG,CF176-CB10.JPG,137342,CF176
COLEÇÃO - 2020\CF176-CB11.jpg,CF176-CB11.jpg,128650,CF176
COLEÇÃO - 2020\CF176-CB12.jpg,CF176-CB12.jpg,91593,CF176
COLEÇÃO - 2020\CM11-CB30.jpg,CM11-CB30.jpg,86415,CM11
COLEÇÃO - 2020\CM11-CB31.jpg,CM11-CB31.jpg,138353,CM11
COLEÇÃO - 2020\CM11-CB32.jpg,CM11-CB32.jpg,103230,CM11
COLEÇÃO - 2020\CM11-CB36.jpg,CM11-CB36.jpg,91414,CM11
COLEÇÃO - 2020\CM11-CB37.jpg,CM11-CB37.jpg,98677,CM11
COLEÇÃO - 2020\CM40-CB05.jpg,CM40-CB05.jpg,79123,CM40
COLEÇÃO - 2020\CM40-CB09.JPG,CM40-CB09.JPG,142330,CM40
COLEÇÃO - 2020\CM40-CB10.jpg,CM40-CB10.jpg,95971,CM40
COLEÇÃO - 2020\CM83-CB01.jpg,CM83-CB01.jpg,122537,CM83
COLEÇÃO - 2020\CM83-CB04.jpg,CM83-CB04.jpg,105731,CM83
COLEÇÃO - 2020\CM83-CB05.JPG,CM83-CB05.JPG,141210,CM83
COLEÇÃO - 2020\CM83-CB06.jpg,CM83-CB06.jpg,104217,CM83
COLEÇÃO - 2020\CM83-CB07.jpg,CM83-CB07.jpg,99684,CM83
COLEÇÃO - 2020\M126-CB01.jpg,M126-CB01.jpg,96138,M126
COLEÇÃO - 2020\M126-CB03.jpg,M126-CB03.jpg,81309,M126
COLEÇÃO - 2020\M126-CB04.jpg,M126-CB04.jpg,109641,M126
COLEÇÃO - 2020\M126-CB06.jpg,M126-CB06.jpg,143315,M126
COLEÇÃO - 2020\M126-CB06_A.jpg,M126-CB06_A.jpg,137167,M126
COLEÇÃO - 2020\M126-CB06_B.jpg,M126-CB06_B.jpg,127488,M126
COLEÇÃO - 2020\M126-CB06_C.jpg,M126-CB06_C.jpg,143297,M126
COLEÇÃO - 2020\M126-CB06_D.jpg,M126-CB06_D.jpg,160803,M126
COLEÇÃO - 2020\M126-CB06_E.jpg,M126-CB06_E.jpg,137291,M126
COLEÇÃO - 2021\040-0-CB11.jpg,040-0-CB11.jpg,89258,0400
COLEÇÃO - 2021\040-0-CB13.jpg,040-0-CB13.jpg,133645,0400
COLEÇÃO - 2021\040-0-CB15.jpg,040-0-CB15.jpg,121780,0400
COLEÇÃO - 2021\040-0-CB16.jpg,040-0-CB16.jpg,134068,0400
COLEÇÃO - 2021\040-0-CB16_A.jpg,040-0-CB16_A.jpg,137415,0400
COLEÇÃO - 2021\040-0-CB16_B.jpg,040-0-CB16_B.jpg,265506,0400
COLEÇÃO - 2021\040-0-CB16_C.jpg,040-0-CB16_C.jpg,277551,0400
COLEÇÃO - 2021\040-0-CB16_D.jpg,040-0-CB16_D.jpg,162901,0400
COLEÇÃO - 2021\040-0-CB19.jpg,040-0-CB19.jpg,133807,0400
COLEÇÃO - 2021\040-0-CB23.jpg,040-0-CB23.jpg,138139,0400
COLEÇÃO - 2021\040-0-CB26.jpg,040-0-CB26.jpg,156008,0400
COLEÇÃO - 2021\040-0-CB30_A.jpg,040-0-CB30_A.jpg,146888,0400
COLEÇÃO - 2021\040-0-CB30_B.jpg,040-0-CB30_B.jpg,138609,0400
COLEÇÃO - 2021\040-0-CB30_C.jpg,040-0-CB30_C.jpg,136672,0400
COLEÇÃO - 2021\040-0-CB30_D.jpg,040-0-CB30_D.jpg,111268,0400
COLEÇÃO - 2021\040-0-CB30_E.jpg,040-0-CB30_E.jpg,126058,0400
COLEÇÃO - 2021\040-0-CB32_A.jpg,040-0-CB32_A.jpg,112951,0400
COLEÇÃO - 2021\040-0-CB32_B.jpg,040-0-CB32_B.jpg,102936,0400
COLEÇÃO - 2021\040-0-CB32_C.jpg,040-0-CB32_C.jpg,141245,0400
COLEÇÃO - 2021\040-0-CB32_D.jpg,040-0-CB32_D.jpg,128149,0400
COLEÇÃO - 2021\040-0-CB32_E.jpg,040-0-CB32_E.jpg,112356,0400
COLEÇÃO - 2021\040-0-CB37.jpg,040-0-CB37.jpg,96026,0400
COLEÇÃO - 2021\040-0-CB39.jpg,040-0-CB39.jpg,138165,0400
COLEÇÃO - 2021\040-0-CB40.jpg,040-0-CB40.jpg,127585,0400
COLEÇÃO - 2021\091-0-CB08.jpg,091-0-CB08.jpg,124356,0910
COLEÇÃO - 2021\091-0-CB11.jpg,091-0-CB11.jpg,92323,0910
COLEÇÃO - 2021\091-0-CB13.jpg,091-0-CB13.jpg,141251,0910
COLEÇÃO - 2021\091-0-CB15.JPG,091-0-CB15.JPG,124488,0910
COLEÇÃO - 2021\091-0-CB15_A.jpg,091-0-CB15_A.jpg,168486,0910
COLEÇÃO - 2021\091-0-CB15_B.jpg,091-0-CB15_B.jpg,377254,0910
COLEÇÃO - 2021\091-0-CB15_C.jpg,091-0-CB15_C.jpg,462149,0910
COLEÇÃO - 2021\091-0-CB15_D.jpg,091-0-CB15_D.jpg,143968,0910
COLEÇÃO - 2021\091-0-CB15_E.jpg,091-0-CB15_E.jpg,161957,0910
COLEÇÃO - 2021\091-0-CB17.jpg,091-0-CB17.jpg,176998,0910
COLEÇÃO - 2021\091-0-CB20.jpg,091-0-CB20.jpg,111184,0910
COLEÇÃO - 2021\091-0-CB21.jpg,091-0-CB21.jpg,165972,0910
COLEÇÃO - 2021\092-0-CB11.jpg,092-0-CB11.jpg,109208,0920
COLEÇÃO - 2021\092-0-CB13.jpg,092-0-CB13.jpg,105939,0920
COLEÇÃO - 2021\092-0-CB15.jpg,092-0-CB15.jpg,112705,0920
COLEÇÃO - 2021\092-0-CB19.jpg,092-0-CB19.jpg,151965,0920
COLEÇÃO - 2021\092-0-CB19_A.jpg,092-0-CB19_A.jpg,142285,0920
COLEÇÃO - 2021\092-0-CB19_B.jpg,092-0-CB19_B.jpg,330224,0920
COLEÇÃO - 2021\092-0-CB19_C.jpg,092-0-CB19_C.jpg,289882,0920
COLEÇÃO - 2021\092-0-CB19_D.jpg,092-0-CB19_D.jpg,147846,0920
COLEÇÃO - 2021\092-0-CB19_E.jpg,092-0-CB19_E.jpg,145893,0920
COLEÇÃO - 2021\092-0-CB22.jpg,092-0-CB22.jpg,116965,0920
COLEÇÃO - 2021\092-0-CB27.jpg,092-0-CB27.jpg,123300,0920
COLEÇÃO - 2021\092-0-CB29.jpg,092-0-CB29.jpg,115686,0920
